  LPIPS-S: 0.0777  |  LPIPS-N: 0.0522  |  LPIPS-T: 0.5533  |  CLIP: 0.3015
  LPIPS-S: 0.0777  |  LPIPS-N: 0.0522  |  LPIPS-T: 0.6090  |  CLIP: 0.3015
  LPIPS-S: 0.0670  |  LPIPS-N: 0.0429  |  LPIPS-T: 0.5930  |  CLIP: 0.2725
  LPIPS-S: 0.0670  |  LPIPS-N: 0.0429  |  LPIPS-T: 0.6484  |  CLIP: 0.2725
  LPIPS-S: 0.0748  |  LPIPS-N: 0.0697  |  LPIPS-T: 0.7129  |  CLIP: 0.2842
  LPIPS-S: 0.0748  |  LPIPS-N: 0.0697  |  LPIPS-T: 0.7089  |  CLIP: 0.2842
  LPIPS-S: 0.0849  |  LPIPS-N: 0.0472  |  LPIPS-T: 0.7273  |  CLIP: 0.2278
  LPIPS-S: 0.0849  |  LPIPS-N: 0.0472  |  LPIPS-T: 0.7717  |  CLIP: 0.2278
  LPIPS-S: 0.1362  |  LPIPS-N: 0.0994  |  LPIPS-T: 0.6029  |  CLIP: 0.2229
  LPIPS-S: 0.1149  |  LPIPS-N: 0.0676  |  LPIPS-T: 0.7681  |  CLIP: 0.2893
  LPIPS-S: 0.1149  |  LPIPS-N: 0.0676  |  LPIPS-T: 0.7864  |  CLIP: 0.2893
  LPIPS-S: 0.2061  |  LPIPS-N: 0.1363  |  LPIPS-T: 0.7584  |  CLIP: 0.3130
  LPIPS-S: 0.2061  |  LPIPS-N: 0.1363  |  LPIPS-T: 0.7566  |  CLIP: 0.3130
  LPIPS-S: 0.0535  |  LPIPS-N: 0.0207  |  LPIPS-T: 0.7537  |  CLIP: 0.2854
  LPIPS-S: 0.0535  |  LPIPS-N: 0.0207  |  LPIPS-T: 0.7572  |  CLIP: 0.2854
  LPIPS-S: 0.1992  |  LPIPS-N: 0.1387  |  LPIPS-T: 0.7813  |  CLIP: 0.3062
  LPIPS-S: 0.1992  |  LPIPS-N: 0.1387  |  LPIPS-T: 0.7791  |  CLIP: 0.3030
  LPIPS-S: 0.2116  |  LPIPS-N: 0.1588  |  LPIPS-T: 0.7022  |  CLIP: 0.3303
  LPIPS-S: 0.2116  |  LPIPS-N: 0.1588  |  LPIPS-T: 0.6812  |  CLIP: 0.3303
