  LPIPS-S: 0.3538  |  LPIPS-N: 0.0607  |  LPIPS-T: 0.6493  |  CLIP: 0.3220
  LPIPS-S: 0.3537  |  LPIPS-N: 0.0901  |  LPIPS-T: 0.6189  |  CLIP: 0.2795
  LPIPS-S: 0.3289  |  LPIPS-N: 0.0929  |  LPIPS-T: 0.5107  |  CLIP: 0.2896
  LPIPS-S: 0.4529  |  LPIPS-N: 0.1938  |  LPIPS-T: 0.4652  |  CLIP: 0.3115
  LPIPS-S: 0.3773  |  LPIPS-N: 0.1550  |  LPIPS-T: 0.6931  |  CLIP: 0.2822
  LPIPS-S: 0.4094  |  LPIPS-N: 0.1968  |  LPIPS-T: 0.7263  |  CLIP: 0.2808
  LPIPS-S: 0.3096  |  LPIPS-N: 0.1856  |  LPIPS-T: 0.7133  |  CLIP: 0.2338
  LPIPS-S: 0.3997  |  LPIPS-N: 0.2130  |  LPIPS-T: 0.6854  |  CLIP: 0.2440
  LPIPS-S: 0.2275  |  LPIPS-N: 0.1490  |  LPIPS-T: 0.6233  |  CLIP: 0.2391
  LPIPS-S: 0.2761  |  LPIPS-N: 0.1250  |  LPIPS-T: 0.7179  |  CLIP: 0.3135
  LPIPS-S: 0.3057  |  LPIPS-N: 0.1442  |  LPIPS-T: 0.6886  |  CLIP: 0.3159
  LPIPS-S: 0.4123  |  LPIPS-N: 0.1749  |  LPIPS-T: 0.7205  |  CLIP: 0.3167
  LPIPS-S: 0.3268  |  LPIPS-N: 0.1691  |  LPIPS-T: 0.7148  |  CLIP: 0.3186
  LPIPS-S: 0.3373  |  LPIPS-N: 0.0942  |  LPIPS-T: 0.6526  |  CLIP: 0.2766
  LPIPS-S: 0.3454  |  LPIPS-N: 0.1033  |  LPIPS-T: 0.6698  |  CLIP: 0.2908
  LPIPS-S: 0.3712  |  LPIPS-N: 0.1748  |  LPIPS-T: 0.7393  |  CLIP: 0.2988
  LPIPS-S: 0.3712  |  LPIPS-N: 0.1721  |  LPIPS-T: 0.7331  |  CLIP: 0.2949
  LPIPS-S: 0.3440  |  LPIPS-N: 0.1959  |  LPIPS-T: 0.6781  |  CLIP: 0.3379
  LPIPS-S: 0.3146  |  LPIPS-N: 0.1370  |  LPIPS-T: 0.6547  |  CLIP: 0.3301
