  LPIPS-S: 0.3538  |  LPIPS-N: 0.0607  |  LPIPS-T: 0.6493  |  CLIP: 0.2800
  LPIPS-S: 0.3537  |  LPIPS-N: 0.0901  |  LPIPS-T: 0.6189  |  CLIP: 0.2551
  LPIPS-S: 0.0514  |  LPIPS-N: 0.0247  |  LPIPS-T: 0.3729  |  CLIP: 0.2593
  LPIPS-S: 0.1349  |  LPIPS-N: 0.0399  |  LPIPS-T: 0.4975  |  CLIP: 0.2474
  LPIPS-S: 0.3289  |  LPIPS-N: 0.0929  |  LPIPS-T: 0.5107  |  CLIP: 0.2461
  LPIPS-S: 0.4529  |  LPIPS-N: 0.1938  |  LPIPS-T: 0.4652  |  CLIP: 0.2651
  LPIPS-S: 0.3773  |  LPIPS-N: 0.1550  |  LPIPS-T: 0.6931  |  CLIP: 0.2222
  LPIPS-S: 0.4094  |  LPIPS-N: 0.1968  |  LPIPS-T: 0.7263  |  CLIP: 0.2209
  LPIPS-S: 0.3096  |  LPIPS-N: 0.1856  |  LPIPS-T: 0.7133  |  CLIP: 0.2305
  LPIPS-S: 0.3997  |  LPIPS-N: 0.2130  |  LPIPS-T: 0.6854  |  CLIP: 0.2418
  LPIPS-S: 0.2275  |  LPIPS-N: 0.1490  |  LPIPS-T: 0.6233  |  CLIP: 0.2391
  LPIPS-S: 0.3429  |  LPIPS-N: 0.1258  |  LPIPS-T: 0.5995  |  CLIP: 0.2360
  LPIPS-S: 0.2859  |  LPIPS-N: 0.0821  |  LPIPS-T: 0.5325  |  CLIP: 0.3210
  LPIPS-S: 0.3749  |  LPIPS-N: 0.0889  |  LPIPS-T: 0.5083  |  CLIP: 0.3154
  LPIPS-S: 0.2761  |  LPIPS-N: 0.1250  |  LPIPS-T: 0.7179  |  CLIP: 0.2478
  LPIPS-S: 0.3057  |  LPIPS-N: 0.1442  |  LPIPS-T: 0.6886  |  CLIP: 0.2549
  LPIPS-S: 0.4123  |  LPIPS-N: 0.1749  |  LPIPS-T: 0.7205  |  CLIP: 0.3096
  LPIPS-S: 0.3268  |  LPIPS-N: 0.1691  |  LPIPS-T: 0.7148  |  CLIP: 0.3130
  LPIPS-S: 0.3373  |  LPIPS-N: 0.0942  |  LPIPS-T: 0.6526  |  CLIP: 0.2524
  LPIPS-S: 0.3454  |  LPIPS-N: 0.1033  |  LPIPS-T: 0.6698  |  CLIP: 0.2406
  LPIPS-S: 0.3712  |  LPIPS-N: 0.1748  |  LPIPS-T: 0.7393  |  CLIP: 0.2354
  LPIPS-S: 0.3712  |  LPIPS-N: 0.1721  |  LPIPS-T: 0.7331  |  CLIP: 0.2294
  LPIPS-S: 0.3440  |  LPIPS-N: 0.1959  |  LPIPS-T: 0.6781  |  CLIP: 0.3379
  LPIPS-S: 0.3146  |  LPIPS-N: 0.1370  |  LPIPS-T: 0.6547  |  CLIP: 0.3301
