  LPIPS-S: 0.3033  |  LPIPS-N: 0.0595  |  LPIPS-T: 0.6329  |  CLIP: 0.3181
  LPIPS-S: 0.2553  |  LPIPS-N: 0.0338  |  LPIPS-T: 0.6361  |  CLIP: 0.3411
  LPIPS-S: 0.2891  |  LPIPS-N: 0.0539  |  LPIPS-T: 0.4893  |  CLIP: 0.2988
  LPIPS-S: 0.3910  |  LPIPS-N: 0.0420  |  LPIPS-T: 0.4610  |  CLIP: 0.2986
  LPIPS-S: 0.3862  |  LPIPS-N: 0.0892  |  LPIPS-T: 0.6365  |  CLIP: 0.2793
  LPIPS-S: 0.3603  |  LPIPS-N: 0.0941  |  LPIPS-T: 0.6384  |  CLIP: 0.2761
  LPIPS-S: 0.2025  |  LPIPS-N: 0.1318  |  LPIPS-T: 0.6758  |  CLIP: 0.2446
  LPIPS-S: 0.3346  |  LPIPS-N: 0.1263  |  LPIPS-T: 0.6370  |  CLIP: 0.2549
  LPIPS-S: 0.2606  |  LPIPS-N: 0.1177  |  LPIPS-T: 0.6078  |  CLIP: 0.2659
  LPIPS-S: 0.2147  |  LPIPS-N: 0.1210  |  LPIPS-T: 0.7109  |  CLIP: 0.3120
  LPIPS-S: 0.2208  |  LPIPS-N: 0.1060  |  LPIPS-T: 0.7014  |  CLIP: 0.3113
  LPIPS-S: 0.4085  |  LPIPS-N: 0.1533  |  LPIPS-T: 0.7072  |  CLIP: 0.3164
  LPIPS-S: 0.3883  |  LPIPS-N: 0.1324  |  LPIPS-T: 0.7052  |  CLIP: 0.3325
  LPIPS-S: 0.2696  |  LPIPS-N: 0.0653  |  LPIPS-T: 0.6897  |  CLIP: 0.3110
  LPIPS-S: 0.2978  |  LPIPS-N: 0.0843  |  LPIPS-T: 0.7037  |  CLIP: 0.3176
  LPIPS-S: 0.1985  |  LPIPS-N: 0.1265  |  LPIPS-T: 0.7475  |  CLIP: 0.3008
  LPIPS-S: 0.2170  |  LPIPS-N: 0.1274  |  LPIPS-T: 0.7523  |  CLIP: 0.3066
  LPIPS-S: 0.2751  |  LPIPS-N: 0.1203  |  LPIPS-T: 0.6638  |  CLIP: 0.3040
  LPIPS-S: 0.2364  |  LPIPS-N: 0.1016  |  LPIPS-T: 0.6519  |  CLIP: 0.3123
  LPIPS-S: 0.2655  |  LPIPS-N: 0.0836  |  LPIPS-T: 0.7377  |  CLIP: 0.3125
