  LPIPS-S: 0.3214  |  LPIPS-N: 0.0595  |  LPIPS-T: 0.6329  |  CLIP: 0.2759
  LPIPS-S: 0.2683  |  LPIPS-N: 0.0338  |  LPIPS-T: 0.6361  |  CLIP: 0.2991
  LPIPS-S: 0.2237  |  LPIPS-N: 0.0536  |  LPIPS-T: 0.4318  |  CLIP: 0.2600
  LPIPS-S: 0.3456  |  LPIPS-N: 0.0929  |  LPIPS-T: 0.4828  |  CLIP: 0.2642
  LPIPS-S: 0.3049  |  LPIPS-N: 0.0539  |  LPIPS-T: 0.4893  |  CLIP: 0.2542
  LPIPS-S: 0.4017  |  LPIPS-N: 0.0420  |  LPIPS-T: 0.4610  |  CLIP: 0.2546
  LPIPS-S: 0.3789  |  LPIPS-N: 0.0892  |  LPIPS-T: 0.6365  |  CLIP: 0.2218
  LPIPS-S: 0.3486  |  LPIPS-N: 0.0941  |  LPIPS-T: 0.6384  |  CLIP: 0.2258
  LPIPS-S: 0.2360  |  LPIPS-N: 0.1318  |  LPIPS-T: 0.6758  |  CLIP: 0.2279
  LPIPS-S: 0.3611  |  LPIPS-N: 0.1263  |  LPIPS-T: 0.6370  |  CLIP: 0.2426
  LPIPS-S: 0.2975  |  LPIPS-N: 0.1177  |  LPIPS-T: 0.6078  |  CLIP: 0.2659
  LPIPS-S: 0.4396  |  LPIPS-N: 0.1144  |  LPIPS-T: 0.5138  |  CLIP: 0.2673
  LPIPS-S: 0.3550  |  LPIPS-N: 0.0880  |  LPIPS-T: 0.5872  |  CLIP: 0.3354
  LPIPS-S: 0.4172  |  LPIPS-N: 0.0725  |  LPIPS-T: 0.5861  |  CLIP: 0.3276
  LPIPS-S: 0.2611  |  LPIPS-N: 0.1210  |  LPIPS-T: 0.7109  |  CLIP: 0.2483
  LPIPS-S: 0.2779  |  LPIPS-N: 0.1060  |  LPIPS-T: 0.7014  |  CLIP: 0.2493
  LPIPS-S: 0.3383  |  LPIPS-N: 0.1533  |  LPIPS-T: 0.7072  |  CLIP: 0.3003
  LPIPS-S: 0.3136  |  LPIPS-N: 0.1324  |  LPIPS-T: 0.7052  |  CLIP: 0.3081
  LPIPS-S: 0.2564  |  LPIPS-N: 0.0653  |  LPIPS-T: 0.6897  |  CLIP: 0.2734
  LPIPS-S: 0.2821  |  LPIPS-N: 0.0843  |  LPIPS-T: 0.7037  |  CLIP: 0.2737
  LPIPS-S: 0.3079  |  LPIPS-N: 0.1265  |  LPIPS-T: 0.7475  |  CLIP: 0.2365
  LPIPS-S: 0.3104  |  LPIPS-N: 0.1274  |  LPIPS-T: 0.7523  |  CLIP: 0.2412
  LPIPS-S: 0.3194  |  LPIPS-N: 0.1203  |  LPIPS-T: 0.6638  |  CLIP: 0.3040
  LPIPS-S: 0.2858  |  LPIPS-N: 0.1016  |  LPIPS-T: 0.6519  |  CLIP: 0.3123
